Round Number,Date,Location,Home Team,Away Team,Result
4,17/10/2020 13:30,Olympiastadion,Hertha,Stuttgart,0 - 2
4,17/10/2020 13:30,OPEL ARENA,Mainz,Leverkusen,0 - 1
4,17/10/2020 13:30,WWK ARENA,Augsburg,RB Leipzig,0 - 2
4,17/10/2020 16:30,SchÃ¼coArena,Bielefeld,Bayern Munich,01-àôø
4,17/10/2020 18:30,BORUSSIA-PARK,M'gladbach,Wolfsburg,01-éðå
4,18/10/2020 13:30,RheinEnergieSTADION,FC Koln,Ein Frankfurt,01-éðå
4,18/10/2020 16:00,VELTINS-Arena,Schalke 04,Union Berlin,01-éðå
5,23/10/2020 18:30,Mercedes-Benz Arena,Stuttgart,FC Koln,01-éðå
5,24/10/2020 13:30,Allianz Arena,Bayern Munich,Ein Frankfurt,5 - 0
5,24/10/2020 13:30,Red Bull Arena,RB Leipzig,Hertha,02-éðå
5,24/10/2020 13:30,An der Alten FÃ¶rsterei,Union Berlin,Freiburg,01-éðå
5,24/10/2020 13:30,OPEL ARENA,Mainz,M'gladbach,02-îøõ
5,24/10/2020 16:30,SIGNAL IDUNA PARK,Dortmund,Schalke 04,3 - 0
5,25/10/2020 14:30,Volkswagen Arena,Wolfsburg,Bielefeld,02-éðå
5,25/10/2020 17:00,wohninvest WESERSTADION,Werder Bremen,Hoffenheim,01-éðå
5,26/10/2020 19:30,BayArena,Leverkusen,Augsburg,03-éðå
6,30/10/2020 19:30,VELTINS-Arena,Schalke 04,Stuttgart,01-éðå
6,31/10/2020 14:30,Deutsche Bank Park,Ein Frankfurt,Werder Bremen,01-éðå
6,31/10/2020 14:30,RheinEnergieSTADION,FC Koln,Bayern Munich,01-ôáø
6,31/10/2020 14:30,WWK ARENA,Augsburg,Mainz,03-éðå
6,31/10/2020 14:30,SchÃ¼coArena,Bielefeld,Dortmund,0 - 2
6,31/10/2020 17:30,BORUSSIA-PARK,M'gladbach,RB Leipzig,1 - 0
6,01/11/2020 14:30,Schwarzwald-Stadion,Freiburg,Leverkusen,02-àôø
6,01/11/2020 17:00,Olympiastadion,Hertha,Wolfsburg,01-éðå
6,02/11/2020 19:30,PreZero Arena,Hoffenheim,Union Berlin,01-îøõ
7,06/11/2020 19:30,wohninvest WESERSTADION,Werder Bremen,FC Koln,01-éðå
7,07/11/2020 14:30,Red Bull Arena,RB Leipzig,Freiburg,3 - 0
7,07/11/2020 14:30,An der Alten FÃ¶rsterei,Union Berlin,Bielefeld,5 - 0
7,07/11/2020 14:30,OPEL ARENA,Mainz,Schalke 04,02-ôáø
7,07/11/2020 14:30,WWK ARENA,Augsburg,Hertha,0 - 3
7,07/11/2020 14:30,Mercedes-Benz Arena,Stuttgart,Ein Frankfurt,02-ôáø
7,07/11/2020 17:30,SIGNAL IDUNA PARK,Dortmund,Bayern Munich,02-îøõ
7,08/11/2020 14:30,Volkswagen Arena,Wolfsburg,Hoffenheim,02-éðå
7,08/11/2020 17:00,BayArena,Leverkusen,M'gladbach,04-îøõ
