Round Number,Date,Location,Home Team,Away Team,Result
5,26/09/2020 17:00,Stade Geoffroy-Guichard,St Etienne,Rennes,0 - 3
5,26/09/2020 21:00,Orange VÃ©lodrome,Marseille,Metz,01-éðå
5,27/09/2020 13:00,Matmut Atlantique,Bordeaux,Nice,0 - 0
5,27/09/2020 15:00,Stade Raymond Kopa,Angers,Brest,03-ôáø
5,27/09/2020 15:00,Stade Gaston GÃ©rard,Dijon,Montpellier,02-ôáø
5,27/09/2020 15:00,Stade Louis II,Monaco,Strasbourg,03-ôáø
5,27/09/2020 15:00,Stade des CostiÃ¨res,Nimes,Lens,01-éðå
5,27/09/2020 17:00,Stade du Moustoir,Lorient,Lyon,01-éðå
5,27/09/2020 21:00,Stade Auguste Delaune,Reims,Paris SG,0 - 2
6,02/10/2020 21:00,Parc des Princes,Paris SG,Angers,06-éðå
6,03/10/2020 17:00,Stade Bollaert-Delelis,Lens,St Etienne,2 - 0
6,03/10/2020 21:00,Allianz Riviera,Nice,Nantes,02-éðå
6,04/10/2020 13:00,Stade de la Mosson,Montpellier,Nimes,0 - 1
6,04/10/2020 15:00,Matmut Atlantique,Bordeaux,Dijon,3 - 0
6,04/10/2020 15:00,Stade Francis-Le BlÃ©,Brest,Monaco,1 - 0
6,04/10/2020 15:00,Stade Saint-Symphorien,Metz,Lorient,03-éðå
6,04/10/2020 15:00,Stade de la Meinau,Strasbourg,Lille,0 - 3
6,04/10/2020 17:00,Roazhon Park,Rennes,Reims,02-ôáø
6,04/10/2020 21:00,Groupama Stadium,Lyon,Marseille,01-éðå
7,16/10/2020 19:00,Stade Gaston GÃ©rard,Dijon,Rennes,01-éðå
7,16/10/2020 21:00,Stade des CostiÃ¨res,Nimes,Paris SG,0 - 4
7,17/10/2020 17:00,Stade Auguste Delaune,Reims,Lorient,01-îøõ
7,17/10/2020 21:00,Orange VÃ©lodrome,Marseille,Bordeaux,03-éðå
7,18/10/2020 13:00,Stade de la Meinau,Strasbourg,Lyon,02-îøõ
7,18/10/2020 15:00,Stade Raymond Kopa,Angers,Metz,01-éðå
7,18/10/2020 15:00,Stade Louis II,Monaco,Montpellier,01-éðå
7,18/10/2020 15:00,Stade de la Beaujoire,Nantes,Brest,03-éðå
7,18/10/2020 17:00,Stade Geoffroy-Guichard,St Etienne,Nice,01-îøõ
7,18/10/2020 21:00,Stade Pierre-Mauroy,Lille,Lens,4 - 0
8,23/10/2020 21:00,Roazhon Park,Rennes,Angers,01-ôáø
8,24/10/2020 17:00,Stade du Moustoir,Lorient,Marseille,0 - 1
8,24/10/2020 21:00,Parc des Princes,Paris SG,Dijon,4 - 0
