Round Number,Date,Location,Home Team,Away Team,Result
15,03/01/2021 15:00,Luigi Ferraris,Genoa,Lazio,01-ינו
15,03/01/2021 15:00,Ennio Tardini,Parma,Torino,0 - 3
15,03/01/2021 15:00,Olimpico,Roma,Sampdoria,1 - 0
15,03/01/2021 15:00,Alberto Picco,Spezia,Verona,0 - 1
15,03/01/2021 18:00,Ciro Vigorito,Benevento,Milan,0 - 2
15,03/01/2021 20:45,Allianz Stadium,Juventus,Udinese,04-ינו
16,06/01/2021 12:30,Sardegna Arena,Cagliari,Benevento,01-פבר
16,06/01/2021 15:00,Gewiss Stadium,Atalanta,Parma,3 - 0
16,06/01/2021 15:00,Renato Dall'Ara,Bologna,Udinese,02-פבר
16,06/01/2021 15:00,Ezio Scida,Crotone,Roma,01-מרץ
16,06/01/2021 15:00,Olimpico,Lazio,Fiorentina,02-ינו
16,06/01/2021 15:00,Luigi Ferraris,Sampdoria,Inter,02-ינו
16,06/01/2021 15:00,Mapei Stadium,Sassuolo,Genoa,02-ינו
16,06/01/2021 15:00,Olimpico Grande Torino,Torino,Verona,01-ינו
16,06/01/2021 18:00,Diego Armando Maradona,Napoli,Spezia,01-פבר
16,06/01/2021 20:45,Giuseppe Meazza,Milan,Juventus,01-מרץ
17,09/01/2021 15:00,Ciro Vigorito,Benevento,Atalanta,01-אפר
17,09/01/2021 18:00,Luigi Ferraris,Genoa,Bologna,2 - 0
17,09/01/2021 20:45,Giuseppe Meazza,Milan,Torino,2 - 0
17,10/01/2021 12:30,Olimpico,Roma,Inter,02-פבר
17,10/01/2021 15:00,Marcantonio Bentegodi,Verona,Crotone,02-ינו
17,10/01/2021 15:00,Ennio Tardini,Parma,Lazio,0 - 2
17,10/01/2021 15:00,Stadio Friuli,Udinese,Napoli,01-פבר
17,10/01/2021 18:00,Artemio Franchi,Fiorentina,Cagliari,1 - 0
17,10/01/2021 20:45,Allianz Stadium,Juventus,Sassuolo,03-ינו
17,11/01/2021 20:45,Alberto Picco,Spezia,Sampdoria,
18,15/01/2021 20:45,Olimpico,Lazio,Roma,
18,16/01/2021 15:00,Renato Dall'Ara,Bologna,Verona,
18,16/01/2021 18:00,Olimpico Grande Torino,Torino,Spezia,
18,16/01/2021 20:45,Luigi Ferraris,Sampdoria,Udinese,
18,17/01/2021 12:30,Diego Armando Maradona,Napoli,Fiorentina,
18,17/01/2021 15:00,Ezio Scida,Crotone,Benevento,
18,17/01/2021 15:00,Mapei Stadium,Sassuolo,Parma,
18,17/01/2021 18:00,Gewiss Stadium,Atalanta,Genoa,
18,17/01/2021 20:45,Giuseppe Meazza,Inter,Juventus,
18,18/01/2021 20:45,Sardegna Arena,Cagliari,Milan,
18,20/01/2021 15:00,Stadio Friuli,Udinese,Atalanta,
19,22/01/2021 20:45,Ciro Vigorito,Benevento,Torino,
19,23/01/2021 15:00,Olimpico,Roma,Spezia,
19,23/01/2021 18:00,Giuseppe Meazza,Milan,Atalanta,
19,23/01/2021 18:00,Stadio Friuli,Udinese,Inter,
19,23/01/2021 20:45,Artemio Franchi,Fiorentina,Crotone,
19,24/01/2021 12:30,Allianz Stadium,Juventus,Bologna,
19,24/01/2021 15:00,Luigi Ferraris,Genoa,Cagliari,
19,24/01/2021 15:00,Marcantonio Bentegodi,Verona,Napoli,
19,24/01/2021 18:00,Olimpico,Lazio,Sassuolo,
19,24/01/2021 20:45,Ennio Tardini,Parma,Sampdoria,
20,29/01/2021 20:45,Olimpico Grande Torino,Torino,Fiorentina,
20,30/01/2021 15:00,Renato Dall'Ara,Bologna,Milan,
20,30/01/2021 15:00,Sardegna Arena,Cagliari,Sassuolo,
20,30/01/2021 15:00,Ezio Scida,Crotone,Genoa,
20,30/01/2021 18:00,Luigi Ferraris,Sampdoria,Juventus,
20,30/01/2021 20:45,Giuseppe Meazza,Inter,Benevento,
20,31/01/2021 12:30,Alberto Picco,Spezia,Udinese,
20,31/01/2021 15:00,Gewiss Stadium,Atalanta,Lazio,
20,31/01/2021 18:00,Diego Armando Maradona,Napoli,Parma,
20,31/01/2021 20:45,Olimpico,Roma,Verona,
21,05/02/2021 20:45,Artemio Franchi,Fiorentina,Inter,
21,05/02/2021 20:45,Giuseppe Meazza,Milan,Crotone,
21,06/02/2021 15:00,Gewiss Stadium,Atalanta,Torino,
21,06/02/2021 15:00,Mapei Stadium,Sassuolo,Spezia,
21,06/02/2021 18:00,Allianz Stadium,Juventus,Roma,
21,06/02/2021 20:45,Luigi Ferraris,Genoa,Napoli,
21,07/02/2021 12:30,Ciro Vigorito,Benevento,Sampdoria,
21,07/02/2021 15:00,Stadio Friuli,Udinese,Verona,
21,07/02/2021 18:00,Ennio Tardini,Parma,Bologna,
21,07/02/2021 20:45,Olimpico,Lazio,Cagliari,
22,12/02/2021 20:45,Renato Dall'Ara,Bologna,Benevento,
22,13/02/2021 15:00,Olimpico Grande Torino,Torino,Genoa,
22,13/02/2021 18:00,Diego Armando Maradona,Napoli,Juventus,
22,13/02/2021 20:45,Alberto Picco,Spezia,Milan,
22,14/02/2021 12:30,Olimpico,Roma,Udinese,
22,14/02/2021 15:00,Sardegna Arena,Cagliari,Atalanta,
22,14/02/2021 15:00,Luigi Ferraris,Sampdoria,Fiorentina,
22,14/02/2021 18:00,Ezio Scida,Crotone,Sassuolo,
22,14/02/2021 20:45,Giuseppe Meazza,Inter,Lazio,
22,15/02/2021 20:45,Marcantonio Bentegodi,Verona,Parma,
23,19/02/2021 18:30,Artemio Franchi,Fiorentina,Spezia,
23,20/02/2021 15:00,Olimpico,Lazio,Sampdoria,
23,20/02/2021 18:00,Luigi Ferraris,Genoa,Verona,
23,20/02/2021 20:45,Mapei Stadium,Sassuolo,Bologna,
23,21/02/2021 12:30,Ennio Tardini,Parma,Udinese,
23,21/02/2021 15:00,Giuseppe Meazza,Milan,Inter,
23,21/02/2021 18:00,Gewiss Stadium,Atalanta,Napoli,
23,21/02/2021 20:45,Ciro Vigorito,Benevento,Roma,
23,21/02/2021 20:45,Sardegna Arena,Cagliari,Torino,
23,22/02/2021 20:45,Allianz Stadium,Juventus,Crotone,
24,26/02/2021 20:45,Olimpico Grande Torino,Torino,Sassuolo,
24,27/02/2021 15:00,Alberto Picco,Spezia,Parma,
24,27/02/2021 18:00,Renato Dall'Ara,Bologna,Lazio,
24,27/02/2021 20:45,Marcantonio Bentegodi,Verona,Juventus,
24,28/02/2021 12:30,Luigi Ferraris,Sampdoria,Atalanta,
24,28/02/2021 15:00,Ezio Scida,Crotone,Cagliari,
24,28/02/2021 15:00,Giuseppe Meazza,Inter,Genoa,
24,28/02/2021 15:00,Stadio Friuli,Udinese,Fiorentina,
24,28/02/2021 18:00,Diego Armando Maradona,Napoli,Benevento,
24,28/02/2021 20:45,Olimpico,Roma,Milan,
25,02/03/2021 18:00,Allianz Stadium,Juventus,Spezia,
25,02/03/2021 18:00,Olimpico,Lazio,Torino,
25,03/03/2021 18:00,Gewiss Stadium,Atalanta,Crotone,
25,03/03/2021 18:00,Ciro Vigorito,Benevento,Verona,
25,03/03/2021 18:00,Sardegna Arena,Cagliari,Bologna,
25,03/03/2021 18:00,Artemio Franchi,Fiorentina,Roma,
25,03/03/2021 18:00,Luigi Ferraris,Genoa,Sampdoria,
25,03/03/2021 18:00,Giuseppe Meazza,Milan,Udinese,
25,03/03/2021 18:00,Mapei Stadium,Sassuolo,Napoli,
25,04/03/2021 18:00,Ennio Tardini,Parma,Inter,
26,06/03/2021 15:00,Alberto Picco,Spezia,Benevento,
26,06/03/2021 18:00,Stadio Friuli,Udinese,Sassuolo,
26,06/03/2021 20:45,Allianz Stadium,Juventus,Lazio,
26,07/03/2021 12:30,Olimpico,Roma,Genoa,
26,07/03/2021 15:00,Ezio Scida,Crotone,Torino,
26,07/03/2021 15:00,Artemio Franchi,Fiorentina,Parma,
26,07/03/2021 15:00,Marcantonio Bentegodi,Verona,Milan,
26,07/03/2021 18:00,Luigi Ferraris,Sampdoria,Cagliari,
26,07/03/2021 20:45,Diego Armando Maradona,Napoli,Bologna,
26,08/03/2021 20:45,Giuseppe Meazza,Inter,Atalanta,
27,12/03/2021 15:00,Olimpico,Lazio,Crotone,
27,12/03/2021 20:45,Gewiss Stadium,Atalanta,Spezia,
27,13/03/2021 15:00,Mapei Stadium,Sassuolo,Verona,
27,13/03/2021 18:00,Ciro Vigorito,Benevento,Fiorentina,
27,13/03/2021 20:45,Luigi Ferraris,Genoa,Udinese,
27,14/03/2021 12:30,Renato Dall'Ara,Bologna,Sampdoria,
27,14/03/2021 15:00,Ennio Tardini,Parma,Roma,
27,14/03/2021 15:00,Olimpico Grande Torino,Torino,Inter,
27,14/03/2021 18:00,Sardegna Arena,Cagliari,Juventus,
27,14/03/2021 20:45,Giuseppe Meazza,Milan,Napoli,
28,19/03/2021 20:45,Ennio Tardini,Parma,Genoa,
28,20/03/2021 15:00,Ezio Scida,Crotone,Bologna,
28,20/03/2021 18:00,Alberto Picco,Spezia,Cagliari,
28,20/03/2021 20:45,Giuseppe Meazza,Inter,Sassuolo,
28,21/03/2021 12:30,Marcantonio Bentegodi,Verona,Atalanta,
28,21/03/2021 15:00,Allianz Stadium,Juventus,Benevento,
28,21/03/2021 15:00,Luigi Ferraris,Sampdoria,Torino,
28,21/03/2021 15:00,Stadio Friuli,Udinese,Lazio,
28,21/03/2021 18:00,Artemio Franchi,Fiorentina,Milan,
28,21/03/2021 20:45,Olimpico,Roma,Napoli,
29,03/04/2021 12:30,Giuseppe Meazza,Milan,Sampdoria,
29,03/04/2021 15:00,Gewiss Stadium,Atalanta,Udinese,
29,03/04/2021 15:00,Ciro Vigorito,Benevento,Parma,
29,03/04/2021 15:00,Sardegna Arena,Cagliari,Verona,
29,03/04/2021 15:00,Luigi Ferraris,Genoa,Fiorentina,
29,03/04/2021 15:00,Olimpico,Lazio,Spezia,
29,03/04/2021 15:00,Diego Armando Maradona,Napoli,Crotone,
29,03/04/2021 15:00,Mapei Stadium,Sassuolo,Roma,
29,03/04/2021 18:00,Olimpico Grande Torino,Torino,Juventus,
29,03/04/2021 20:45,Renato Dall'Ara,Bologna,Inter,
30,11/04/2021 18:00,Ciro Vigorito,Benevento,Sassuolo,
30,11/04/2021 18:00,Artemio Franchi,Fiorentina,Atalanta,
30,11/04/2021 18:00,Marcantonio Bentegodi,Verona,Lazio,
30,11/04/2021 18:00,Giuseppe Meazza,Inter,Cagliari,
30,11/04/2021 18:00,Allianz Stadium,Juventus,Genoa,
30,11/04/2021 18:00,Ennio Tardini,Parma,Milan,
